grado,tiempo_tradicional_ns,tiempo_optimizado_ns
10,618,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,14191,2009
80,0,0
90,2519,1806
100,4957,0
110,0,7387
120,0,5284
130,0,0
140,3563,3449
150,1979,0
160,12108,3615
170,1630,0
180,8950,0
190,13793,3601
200,8897,4010
210,0,11949
220,3255,11903
230,2675,9057
240,0,16035
250,0,14943
260,7960,5815
270,3535,0
280,22190,6403
290,14151,6101
300,8393,14522
310,9917,8201
320,15080,8703
330,17458,7517
340,12661,10110
350,16038,8020
360,7850,20280
370,23699,10443
380,11257,17984
390,16648,7483
400,17597,12034
410,17720,0
420,23359,10025
430,28621,10403
440,21615,9764
450,30432,12825
460,26230,8027
470,23677,0
480,44897,11211
490,30193,11030
500,30348,16898
510,21391,8723
520,23750,18996
530,35220,7910
540,45347,11705
550,39294,0
560,35611,11999
570,33916,11504
580,29292,15687
590,28890,16064
600,47330,11028
610,33695,15798
620,62317,0
630,45987,13890
640,48845,13772
650,57291,8618
660,39464,15688
670,60964,13820
680,42955,15957
690,54709,11073
700,61322,15432
710,48870,14057
720,77050,15692
730,45616,30033
740,63868,21719
750,73936,15133
760,60929,2660
770,60426,2747
780,63829,17165
790,96901,13373
800,65478,24398
810,70053,30219
820,80460,19385
830,74812,26777
840,80447,31905
850,85693,25096
860,74846,71602
870,64989,18533
880,84532,15297
890,66075,19069
900,77494,9951
910,97273,14150
920,80989,20737
930,70692,32913
940,103947,34371
950,77028,16125
960,66641,20950
970,98622,26131
980,89637,29537
990,90244,23217
1000,85172,30858
